层门数,召回,停电自动平层保护装置,使用年限,使用频率,机房有降温设施,地坑潮湿,管理人员,故障率,量化考核,投诉,困人次数,主机,控制柜,安全保护装置,门锁,其它,高,中,低
12,0,0,7,8.7,0,0,0,2,95,0,0,0,0,1,0,1,0,0,1
16,0,0,7,10.1,0,0,0,5,90,0,0,0,0,1,0,1,0,1,0
14,0,0,8,9,0,0,0,1,90,0,0,0,0,1,0,1,0,0,1
18,0,0,9,18,0,0,0,0,90,0,0,0,0,1,0,1,0,0,1
7,0,0,5,32.6,0,1,1,0,80,0,0,1,1,0,1,1,0,1,0
10,0,0,10,28.9,0,1,1,1,80,0,0,1,1,0,1,1,0,1,0
13,0,0,6,45,0,1,1,5,70,0,1,0,2,3,0,1,1,0,0
10,1,0,8,40.3,0,1,1,6,70,0,0,0,1,1,0,1,0,1,0
14,0,0,7,30.5,0,1,1,5,70,0,0,0,1,1,0,1,0,1,0
8,0,0,8,36.4,1,0,1,6,80,0,0,0,0,0,1,2,0,1,0
25,0,0,5,38.4,1,0,1,9,64,0,1,0,0,0,1,1,1,0,0
26,0,0,5,36.8,1,0,1,10,75,1,0,0,0,0,1,1,1,0,0
